$Smoother_JAC,$Smoother_GSAC,$Smoother_GSACBE,$Smoother,$CGS_IP_CG,$CGS_RED_AMG,$CGS_IP_AMG,$Smoother_GS,$CGS,$Smoother_GSRB,$Smoother_GSRBAC,$pre,$post,$numCore,$<AverageTimePerIteration
1,0,0,1,1,0,0,0,1,0,0,0,1,64,101.754
0,0,0,1,1,0,0,1,1,0,0,0,1,64,101.789
0,1,0,1,1,0,0,0,1,0,0,0,1,64,106.315
0,0,1,1,1,0,0,0,1,0,0,0,1,64,430.014
0,0,0,1,1,0,0,0,1,1,0,0,1,64,118.088
0,0,0,1,1,0,0,0,1,0,1,0,1,64,122.949
1,0,0,1,0,0,1,0,1,0,0,0,1,64,103.588
0,0,0,1,0,0,1,1,1,0,0,0,1,64,102.543
0,1,0,1,0,0,1,0,1,0,0,0,1,64,106.113
0,0,1,1,0,0,1,0,1,0,0,0,1,64,416.52
0,0,0,1,0,0,1,0,1,1,0,0,1,64,119.877
0,0,0,1,0,0,1,0,1,0,1,0,1,64,123.342
1,0,0,1,0,1,0,0,1,0,0,0,1,64,118.913
0,0,0,1,0,1,0,1,1,0,0,0,1,64,116.237
0,1,0,1,0,1,0,0,1,0,0,0,1,64,120.012
0,0,1,1,0,1,0,0,1,0,0,0,1,64,430.928
0,0,0,1,0,1,0,0,1,1,0,0,1,64,133.761
0,0,0,1,0,1,0,0,1,0,1,0,1,64,137.249
1,0,0,1,1,0,0,0,1,0,0,0,2,64,126.927
0,0,0,1,1,0,0,1,1,0,0,0,2,64,126.892
0,1,0,1,1,0,0,0,1,0,0,0,2,64,134.618
0,0,1,1,1,0,0,0,1,0,0,0,2,64,777.809
0,0,0,1,1,0,0,0,1,1,0,0,2,64,160.207
0,0,0,1,1,0,0,0,1,0,1,0,2,64,168.738
1,0,0,1,0,0,1,0,1,0,0,0,2,64,127.051
0,0,0,1,0,0,1,1,1,0,0,0,2,64,125.633
0,1,0,1,0,0,1,0,1,0,0,0,2,64,132.852
0,0,1,1,0,0,1,0,1,0,0,0,2,64,752.307
0,0,0,1,0,0,1,0,1,1,0,0,2,64,160.052
0,0,0,1,0,0,1,0,1,0,1,0,2,64,166.997
1,0,0,1,0,1,0,0,1,0,0,0,2,64,142.309
0,0,0,1,0,1,0,1,1,0,0,0,2,64,139.344
0,1,0,1,0,1,0,0,1,0,0,0,2,64,146.709
0,0,1,1,0,1,0,0,1,0,0,0,2,64,766.649
0,0,0,1,0,1,0,0,1,1,0,0,2,64,173.812
0,0,0,1,0,1,0,0,1,0,1,0,2,64,180.872
1,0,0,1,1,0,0,0,1,0,0,0,3,64,152.047
0,0,0,1,1,0,0,1,1,0,0,0,3,64,150.944
0,1,0,1,1,0,0,0,1,0,0,0,3,64,161.649
0,0,1,1,1,0,0,0,1,0,0,0,3,64,1129.36
0,0,0,1,1,0,0,0,1,1,0,0,3,64,201.456
0,0,0,1,1,0,0,0,1,0,1,0,3,64,212.176
1,0,0,1,0,0,1,0,1,0,0,0,3,64,151.52
0,0,0,1,0,0,1,1,1,0,0,0,3,64,148.629
0,1,0,1,0,0,1,0,1,0,0,0,3,64,159.269
0,0,1,1,0,0,1,0,1,0,0,0,3,64,1090.99
0,0,0,1,0,0,1,0,1,1,0,0,3,64,199.77
0,0,0,1,0,0,1,0,1,0,1,0,3,64,209.832
1,0,0,1,0,1,0,0,1,0,0,0,3,64,166.679
0,0,0,1,0,1,0,1,1,0,0,0,3,64,162.486
0,1,0,1,0,1,0,0,1,0,0,0,3,64,173.409
0,0,1,1,0,1,0,0,1,0,0,0,3,64,1102.71
0,0,0,1,0,1,0,0,1,1,0,0,3,64,213.996
0,0,0,1,0,1,0,0,1,0,1,0,3,64,224.217
1,0,0,1,1,0,0,0,1,0,0,0,4,64,176.019
0,0,0,1,1,0,0,1,1,0,0,0,4,64,173.899
0,1,0,1,1,0,0,0,1,0,0,0,4,64,189.451
0,0,1,1,1,0,0,0,1,0,0,0,4,64,1477.41
0,0,0,1,1,0,0,0,1,1,0,0,4,64,241.854
