$no_mixed_refs,$rc_lookahead_40,$no_cabac,$no_8x8dct,$no_asm,$rc_lookahead,$ref_1,$no_fast_pskip,$no_weightb,$rc_lookahead_20,$ref_5,$no_mbtree,$ref_9,$no_deblock,$ref,$rc_lookahead_60,$<MainMemory, $<Performance
0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,274720.0,254.586666667
0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,510613.333333,271.966666667
0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,291397.333333,442.25
0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,331264.0,611.043333333
0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,274069.333333,244.39
0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,274682.666667,254.176666667
0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,274704.0,261.076666667
0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,168688.0,287.01
1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,274704.0,254.82
0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,274709.333333,254.733333333
0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,392682.666667,256.726666667
0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,274170.666667,260.266666667
0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,510485.333333,257.973333333
0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,291317.333333,423.076666667
0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,331173.333333,585.35
0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,274176.0,259.806666667
0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,274186.666667,266.483333333
0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,168160.0,295.47
1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,274181.333333,260.48
0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,274176.0,260.41
0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,392117.333333,262.563333333
0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,509930.666667,263.823333333
0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,274757.333333,268.016666667
0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,290746.666667,436.116666667
0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,330608.0,602.713333333
0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,274757.333333,275.426666667
0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,168762.666667,304.9
1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,274757.333333,268.17
0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,274762.666667,267.853333333
0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,392752.0,270.07
0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,510581.333333,271.336666667
0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,291365.333333,444.71
0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,331232.0,615.286666667
0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,274784.0,276.103333333
0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,168794.666667,310.58
1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,274794.666667,276.03
0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,274784.0,275.92
0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,392789.333333,278.196666667
0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,510618.666667,279.356666667
0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,285488.0,514.17
0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,325349.333333,740.21
1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,168789.333333,305.26
0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,168794.666667,305.283333333
0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,168784.0,305.456666667
0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,168784.0,305.4
0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,168789.333333,305.383333333
0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,185370.666667,519.586666667
0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,225205.333333,721.486666667
1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,274789.333333,268.603333333
1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,392794.666667,270.66
1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,510602.666667,272.13
1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,291413.333333,381.123333333
1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,331264.0,510.01
0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,392794.666667,270.706666667
0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,510608.0,272.003333333
1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,274784.0,268.773333333
0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,291418.666667,442.546666667
0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,331264.0,610.823333333
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409376.0,-1
0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,449184.0,444.6
0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,527178.666667,612.97
0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,566965.333333,445.576666667
0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,566965.333333,613.446666667
0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,274784.0,268.556666667
0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,274784.0,268.72
0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,392784.0,270.656666667
0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,224474.666667,-1
1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,560506.666667,-1
0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,510613.333333,-1
0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,225077.333333,-1
0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,224581.333333,-1
0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,403477.333333,-1
1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,225216.0,-1
1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,566373.333333,-1
1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,225114.666667,-1
0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,168149.333333,-1
0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,560416.0,-1
1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,185365.333333,-1
0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,224576.0,-1
0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,168656.0,-1
0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,392112.0,-1
1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,324677.333333,-1
0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,168144.0,-1
1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,274058.666667,-1
0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,330496.0,-1
0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,392789.333333,-1
0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,325232.0,-1
1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,560400.0,-1
0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,325354.666667,-1
0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,168757.333333,-1
0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,225173.333333,-1
1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,184709.333333,-1
0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,520544.0,-1
0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,168165.333333,-1
1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,168160.0,-1
1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,566837.333333,-1
0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,184709.333333,-1
1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,224453.333333,-1
0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,185365.333333,-1
0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,274682.666667,-1
0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,509845.333333,-1
1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,509904.0,-1
1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,168149.333333,-1
0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,168666.666667,-1
1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,560965.333333,-1
1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,225072.0,-1
0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,509840.0,-1
1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,402762.666667,-1
1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,168698.666667,-1
0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,443178.666667,-1
0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,225082.666667,-1
1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,442517.333333,-1
