$InterTypeFields,$InterTypeConstructors,$AspectConstructors,$InterfaceMethods,$Advice,$ClassFields,$CodeFormatter,$AspectFields,$States,$InterfaceFields,$Base,$InterTypeMethods,$Classes,$ClassMethods,$Aspects,$AspectMethods,$Interfaces,$ClassConstructors,$Pointcuts,$<AnalysisTime
0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,116920000.0
1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,122110000.0
0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,119620000.0
0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,120850000.0
1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,117855000.0
0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,116070000.0
0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,155720000.0
0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,125035000.0
1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,119620000.0
0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,115190000.0
1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,116840000.0
0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,117700000.0
0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,125650000.0
1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,117250000.0
0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,123280000.0
0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,117385000.0
1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,115640000.0
0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,116605000.0
0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,116760000.0
1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,119620000.0
1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,153720000.0
0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,121790000.0
1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,121010000.0
0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,117940000.0
0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,119100000.0
0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,117560000.0
0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,121680000.0
1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,122275000.0
0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,153540000.0
1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,118555000.0
1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,115905000.0
1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,119100000.0
0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,121630000.0
1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,115980000.0
0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,117730000.0
1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,120860000.0
1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,121425000.0
1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,115790000.0
0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,157570000.0
1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,144865000.0
1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,117040000.0
